,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Breed,Main Color,Days of stay
0,0,7,2,2,1780,55,596
1,0,13,1,2,1036,18,166
2,0,13,1,3,1036,21,310
3,7,13,2,2,459,50,1949
4,4,18,4,4,1944,2,730
5,7,13,2,0,1446,56,366
6,9,13,2,1,1393,2,46
7,7,13,1,3,1036,7,1104
8,9,13,2,1,1096,2,247
9,9,13,1,0,1025,4,22
10,9,13,2,3,278,55,366
11,0,13,2,2,1779,7,429
12,9,13,2,2,1617,55,3300
13,9,13,1,1,1036,38,15
14,0,13,1,1,1036,18,53
15,4,15,4,4,276,15,181
16,9,13,2,1,1486,15,126
17,7,13,1,0,1036,12,1096
18,9,13,2,2,228,23,369
19,9,13,2,2,1393,41,143
20,0,13,2,3,1393,50,55
21,0,13,2,3,1780,15,80
22,7,13,2,2,1096,34,2191
23,0,13,1,2,1036,38,72
24,0,13,2,3,957,41,1096
25,7,13,2,3,669,16,1277
26,7,13,2,1,1780,55,246
27,0,7,1,3,1036,12,82
28,2,1,1,0,1036,2,1827
29,9,13,2,2,1900,27,3656
30,0,13,2,3,1135,55,738
31,0,13,2,3,1780,2,1155
32,7,13,2,1,728,41,367
33,7,13,1,3,1036,18,4748
34,7,13,2,3,1780,7,2049
35,0,13,2,2,1832,16,310
36,4,18,4,4,2161,50,365
37,7,13,2,2,700,25,1466
38,0,13,1,3,1036,55,415
39,0,13,2,2,459,50,739
40,9,13,2,3,728,15,1111
41,7,13,2,2,2237,55,730
42,9,13,1,1,1036,18,22
43,0,7,1,3,1036,51,71
44,9,13,1,1,1036,2,19
45,9,13,2,0,728,2,1099
46,4,15,4,4,275,15,183
47,0,13,4,2,604,55,388
48,7,13,1,3,1031,2,366
49,9,13,2,2,1664,50,1100
50,9,13,1,2,1036,12,170
51,9,13,2,2,1903,2,736
52,0,13,1,0,1036,12,59
53,9,13,2,2,1711,2,759
54,0,12,1,3,1036,55,95
55,0,13,2,3,728,50,369
56,0,7,1,2,1031,12,180
57,7,13,2,0,2101,2,365
58,7,13,1,3,1036,52,4018
59,9,13,1,0,1036,7,7
60,7,13,2,3,844,2,1826
61,0,13,1,2,1036,18,66
62,0,13,1,1,2096,28,71
63,0,13,1,2,1036,31,80
64,9,13,2,3,1780,55,1315
65,0,7,1,3,1036,2,104
66,7,13,2,3,728,2,283
67,0,13,2,2,728,2,738
68,4,15,4,4,275,41,32
69,0,7,2,2,768,2,80
70,9,13,2,3,2146,2,338
71,9,13,2,3,2146,2,338
72,9,13,2,2,1664,50,735
73,7,13,2,3,1633,55,1824
74,0,13,2,3,931,7,3314
75,0,13,1,2,1036,2,401
76,9,13,2,2,1951,55,743
77,9,13,2,3,728,54,735
78,9,13,2,2,1780,16,401
79,9,13,1,1,1036,2,24
80,0,13,2,3,587,55,1107
81,7,13,2,2,1393,2,2930
82,9,13,2,2,1885,15,3658
83,0,7,1,3,1036,52,546
84,0,13,2,2,2206,50,2566
85,9,13,1,4,1036,38,31
86,7,13,2,3,1393,15,1097
87,7,13,2,2,1393,23,1645
88,4,15,4,4,275,2,366
89,0,7,2,3,122,55,577
90,0,7,1,3,1036,12,76
91,0,13,2,2,1780,7,843
92,9,13,2,1,1456,2,21
93,7,13,2,2,728,50,4426
94,9,13,1,4,1036,15,31
95,0,13,1,3,1036,2,186
96,9,16,1,3,1036,18,243
97,7,13,1,2,1036,2,371
98,0,13,2,1,1174,50,249
99,9,16,1,4,1036,18,244
100,0,13,2,2,1117,2,382
101,0,13,1,3,1036,18,72
102,0,13,2,3,1393,50,76
103,0,13,2,3,728,15,1106
104,0,13,2,2,1142,45,1473
105,0,13,2,3,1815,55,140
106,7,13,2,0,1141,2,1167
107,7,13,2,2,1993,41,2602
108,9,13,1,2,1031,2,377
109,0,13,2,3,647,16,126
110,0,13,1,2,1036,5,162
111,0,13,2,3,278,50,950
112,0,7,1,2,1036,38,89
113,7,13,1,3,2096,53,4028
114,0,7,2,3,1617,2,56
115,0,13,2,2,1780,15,860
116,7,13,2,2,728,41,2447
117,0,13,2,3,1780,7,740
118,0,7,1,3,1035,21,100
119,0,13,2,3,390,7,254
120,0,13,2,3,1560,16,373
121,9,13,1,0,1036,2,38
122,4,13,4,4,1701,40,9
123,0,7,1,2,1036,7,82
124,0,13,2,3,2328,55,734
125,9,13,2,0,1832,16,124
126,9,13,1,4,2096,33,7
127,0,13,2,3,1393,56,79
128,9,13,1,2,1036,18,428
129,0,13,2,3,1523,55,527
130,4,15,4,4,276,15,1096
131,0,7,1,3,1036,18,111
132,9,13,1,4,1036,2,33
133,9,13,2,1,159,2,741
134,9,13,2,0,1780,16,224
135,9,13,2,3,1592,2,736
136,4,18,4,4,2160,15,365
